"label","sentence"
"1","nine oval miniature on ivory portrait paintings of prominent colonial-era americans ... - {{url}} {{url}}"
"0","selling 2 leeds fest sunday tickets dm #leedsfestival"
"0","break up to break out and break through!
this is where love and light meets shadow work. this shit can be easier and you can be happyaf. {{url}}"
"1","octagonal whale ivory sewing stand, 11½"" tall, brought $25,200 (est. $9000/12,000) at {{mention}} {{url}} #antiques #antique #vintage #art #artist #americana #ivory #whale #whales #sewing #folkart {{url}}"
"0","{{mention}} {{mention}} i've been waiting 5 months for wave support to follow up on some issues. i've emailed several times, but no movement. can someone please make this a priority, it's very frustrating."
"1","mammoth ivory masterpiece netsuke – father & son with a fish
the relationship between father and son is a classic and timeless relationship worthy of artistic interpretation.

{{url}}

#masterpiece #sculpture #art {{url}}"
"0","would you buy a home in the metaverse?
 {{url}} {{url}}"
"0","antiques atlas - a royal worcester blush ivory pedestal lidded vase {{url}} via {{mention}}"
"1","look at this exotic yet outlandish work of geisa carefully sculpted with original mammoth ivory.

new year sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #newyearsale #holidayshopping {{url}}"
"1","mammoth ivory netsuke – on the bridge

this is mammoth ivory netsuke of bridge scene breathtakingly beautiful with bold, defined strokes, capturing the expression of the japanese people that are on the bridge.
{{url}}

#ivory #sculpture #mammothivory #netsuke #art {{url}}"
"0","{{mention}} {{mention}} federal law prohibits ivory now.  this law only extends to antiques and is opposed by museums, historical societies."
"1","small ivory card case #jeremygreenantiques #cardcase #ivory {{url}}"
"0","rt {{mention}}: lot of 9 - grey size small 'custom chrome' 1/4 zip up sweater - new!!! {{url}}"
"0","rt {{mention}}: abbotts been scootin around that border wall down there doing photo ops for 8 months and didnt fix this shit and its gonna h…"
"1","really amazing piece of art look how the octopus surround the mermaid & it’s looks little beat erotic that the octopus insert his limbs under the mermaid skirt inlay-ed with red gestones & give her a good time.

{{url}}

#sculpture #octopus #mermaid #ivory {{url}}"
"0","*179th (jan 2022) edition of emagazine presense*
editorial on {{mention}}  breach of security  +   making of indian constitution  +  exciting story of arya bhashyam who hoisted indian tri-colour  on 26th jan 1932
{{url}}

{{mention}}  {{mention}} {{url}}"
"0","rt {{mention}}: what were the {{mention}} up to at e3? hustling like they do to bring you good stuff like this best of e3 video. respect. ht ..."
"1","as one of the four creatures of the world’s directions, the dragon stands for new beginnings. the dragon also has the power to release water to parched lands, and which in turn stands for abundance and relief. 

{{url}}

#dragon #newbeginnings #ivory #mammothivory {{url}}"
"0","{{mention}} {{mention}} lol you really think you did something huh smh"
"1","coconut and ivory pot {{url}} {{url}}"
"1","new item added to the site a rare 18th century mughal anthropomorphic carved ivory cane handle with suspended tongue. {{url}}"
"0","{{mention}} {{mention}} {{mention}} {{mention}} {{mention}} the question to you is will there ever be that change you desire most for nigeria? if yes, can you imagine how this would unfold? if no, then we are just in cycles!"
"0","#starsandstripes wishing all our #american clients and friends a very happy #thanksgiving. featured lots: 1096, 1086 & 1170 from the #christmas gifts online auction. bid until 10am on 2nd december: {{url}} {{url}}"
"0","{{mention}} {{mention}} {{mention}} {{mention}} {{mention}} this is insanity. what happens when permissiveness changes underlying behaviors. brazenness becomes the norm. hard to go back."
"0","19th century meissen figurine of cupid sewing broken heart

buy this wonderful #meissenporcelainsculpture @ {{url}}

#ivoryandart #art #sculpture #sculptures #homedecor #homedecoration #summersale #summersales {{url}}"
"1","a pair of late victorian stained ivory cuff links by child & child c1905. each terminal designed as a heart, collet set with a green stained ivory panel conjoined by belcher links. {{url}}"
"1","ivory indo-portuguese sculpture – goa, xviith century {{url}}"
"0","amazingly antique french 5 lite girandole candelabra lamp now on ebay. this lovely completely re-wired, 
 re-strung, re-hickeyed, 5 candle cover replaced, and handmade french crown light bulbs shades. dripping with czech crystals-gorgeous-this is heavy! {{url}}"
"0","a fantastic end to the year for the #woolleyandwallis english and european ceramics department. read more in the #bbc #bbcwiltshire article: 
{{url}}"
"0","rt {{mention}}: why tolling on chciago's lake shore drive is a bad idea:  {{url}}"
"0","used vietnam us army 7th infantry division subdued patch u.s. military {{url}} {{url}}"
"1","mammoth ivory netsuke – the sculpture

this outstanding #netsuke is a proud member of our master pieces netsukes collection. 
#handcarved by master carver. 

{{url}}

#mammoth #mammothivory #ivory #sculpture #netsukemastercollection
#netsuke_art #art #collection {{url}}"
"0","original 1956 gpo 332l 'exchange' vintage ivory bakelite telephone. converted  {{url}} via {{mention}} #ebay #bakelite #ivorytelephone #gpo"
"0","rt {{mention}}: we are running a survey to help us better understand how we can best support our lgbtq+ communities 🏳️‍🌈🏳️‍⚧️ 

the survey is…"
"0","louis masriera pendant with ivory, circa 1910.  oppose hb5578, please rt #artnouveau {{mention}} {{mention}} {{url}}"
"1","any keen writers will appreciate lot 189 featured in day 1 of our oxford library sale. this striking 18th century italian rosewood & ivory writing slope features finely engraved panels depicting figural & hunting subjects (est:£500 - £800). pre-register at {{url}} {{url}}"
"1","museum quality – mammoth ivory netsuke – three monkeys in boat 

this outstanding netsuke is a proud member of our master pieces netsukes collection, hand carved by master carver.

{{url}}

#art #mammothivory #ivory #monkeys #netsuke #artworks #sculpture {{url}}"
"0","sold today for £850 - bosio , giacomo. li privileggi della sacra religione di s. gio giersolimitano ...
engraved title device; 96, (24)pp., later calf with gilt decorated and panelled spine, gilt arms on both covers, sm.4to.rome: jacobus tornerius,1599 #gorringes #sold #booksale {{url}}"
"0","happy halloween from woolley & wallis. featuring lot 325; a large and impressive myochin iron articulated model of a #snake, signed #myochin, 127cm. view the full #japanese works of art catalogue here: {{url}}
#halloween #woolleyandwallis {{url}}"
"0","the only thing in wiring we left is the very old slide switch & it's cord as it works perfectly"
"1","you can buy this wonderful chinese philosopher confucius figurine holding a sword carefully sculpted with mammoth ivory.

christmas sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #ivoryandart #christmassale #holidayshopping {{url}}"
"0","elephant poaching will not be stopped by banning the sale of antique ivory but by working together to uphold the law #protectantiqueivory"
"0","my mom had a debilitating case of tuberculosis in india, and she calls it her ""first pandemic"" {{url}}"
"0","{{mention}} {{mention}} for a parody account, you need to make it more obvious this is a joke. or else we all think you genuinely believe this liar pos is a good bloke."
"0","it’s {{mention}} {{url}}"
"1","an extremely amazing mammoth ivory netsuke of the seven lucky gods(or japans’ seven gods of fortune) in a bottle guard.

{{url}}

#handmade #ivory #sculpture #carving #tusk #art {{url}}"
"1","a pair of #ivory africans sculptures, #france 70s
#vintage #modern #vintageshop #deco #decoration #elrastro #madrid #style #instadecor #instaantiques #interior #design #inspiration #interiors #homedecor #antiquesdealersofinstagram #antiqueshop #art {{url}}"
"0","rt {{mention}}: painter + educator alma thomas in her dc home studio, 1530 15th st., nw, in 1971 [via {{mention}}]: {{url}}"
"0","i wish the twitter team the best of luck and trust that they will be successful in continuing to develop this important communication tool."
"0","rt {{mention}}: the gilded age needs to case jane krakowski in character as jenna maroney playing a character in the gilded age"
"0","{{mention}} {{mention}} just been told by the bandq cs advisor that his computer is down and will be fixed this friday #disappointed"
"1","{{mention}} mammoth ivory facebook is awesom!"
"1","mammoth ivory figurine – saint joseph holding baby jesus

special offer: {{url}}

#saint #catholicism #catholic #christianity #joseph #dun #jenna #josh #tyler #jishwa #jennajoseph #tyjo #skeletonclique #clique #joshuadun #regionalatbest #joshler #blurryface {{url}}"
"0","kandy korn! :) {{url}}"
"0","vintage carborundum razor honing sharpening stone in leather pouch case niagara falls ny abrasives hone {{url}} {{url}}"
"1","you can buy this gorgeous carving of elephant herd roaming in the jungle carefully sculpted with original mammoth ivory.

christmas sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #christmassale #holidayshopping {{url}}"
"0","ye look upon my takes and despair {{url}}"
"0","regency tea caddy, 19,20,21% ivory???  save elephants w/o attacking antiques. no on hb5578 {{mention}} {{mention}} {{url}}"
"1","lot 375 - a silver presentation trowel with a superbly carved ivory handle- william taylor for st peters church preston. hallmarked for london 1848 by edward, john & william barnard #auction #antique #antiquesilver #silvercollection #silverdealer #churchillauctions {{mention}} {{url}}"
"0","gorringe’s auctioneers, are privileged to have been instructed to offer for sale on tuesday december 7th - the michael farebrother collection of  ‘papers concerning h.m the queen & her family’ offered for sale for the first time.
{{url}} #gorringes {{url}}"
"0","rt {{mention}}: each map in this story shows the rise ↑ or fall ↓ in percentage terms of a county’s total acreage devoted to corn, soybe…"
"0","carrington & co. london - a 19th century rosewood and etched ivory cased eight day mantel timepiece, lot 200 inour weekly sale, est £400-£600 #antiques #clocks #auction #lewes {{url}}"
"1","new pieces of #scrimshaw from judge arrived today & they are fantastic. both large chunks of ancient mammoth ivory. {{url}}"
"0","captivating high quality mammoth ivory carving of a bear family laid on teak wood
{{url}} {{url}}"
"0","open today 10 am until 1 pm
419 ccpkwy cape coral fl {{url}}"
"0","rt {{mention}}: disney frozen keychain anna princess 2.75"" plastic figure 2017 keyring - new {{url}} {{url}}"
"1","mammoth ivory website under construction!!"
"0","wordle 223 2/6

🟨🟩⬜⬜🟩
🟩🟩🟩🟩🟩 i’m new. is this how you do it?"
"0","free & easy for most= ""kindness"" {{url}}"
"0","high quality mammoth ivory carving of a family of rabbits eating carrots laid on teak wood
{{url}} {{url}}"
"0","el cid gallery is an antique and art gallery.
we specialize in mammoth ivory carvings, porcelain and contemporanei… {{url}}"
"1","antique legal mammoth ivory carving of fukurokuju

one of the prominent seven lucky gods, #fukurokuju is omnipresent in japanese mythology. handcrafted by #mastercarver.

{{url}}

#mammoth #mammothivory #ivory #carving #japanesegod #sculpture #art  #collection {{url}}"
"1","an inuit serpentine carving circa 1950s of the improbable narwhal. each sinuous fold has been lovingly and expertly carved. the narwhal's single twisted tusk is  carved from ivory. signed in inuktitut syllabics by the artist.

dimensions: 17"" x 11.5"" x 7""

{{url}} {{url}}"
"1","star lot: a good japanese shibayama inlaid ivory two-fold table screen (tsuitate), meiji period, inlaid in ivory, red lacquer and mother-of-pearl...

consigned for sale in winchester, sold in wisborough green for £7,600.

{{mention}} {{url}}"
"0",".{{mention}} and {{mention}}: this is shameful! anti-#lgbt guidance is an affront to american values. {{mention}} {{mention}}"
"0","{{mention}} no kidding...and kids could stay out without parents just as long as they were home when the street lights came on (at least that was the rule in nebraska and kansas back in the day)."
"0","i am selling my beautiful piano if anyone is interested. its loved but gets little playing attention - sob.  mahogany, iron frame and ivory keys. stamped for 1921. in fine condition. regularly tuned. purchased 8... {{url}}"
"0","fine jewellery entries invited for our winter sale.

gorringe’s winter fine sale tuesday 7th december. entry deadline 17th november.

{{url}}

#consign #gorringes #jewellery #jewelry #finejewelry #finejewellery #antiquejewelry {{url}}"
"1","finally, our webshop mammoth ivory carvings is online! check it out! {{url}}"
"0","#truth {{url}}"
"1","some more teapots have made their way into our conservation studio! they have been cleaned and polished using conservation grade methods and materials. careful consideration is taken when working with objects that have natural materials such as wood and ivory components. {{url}}"
"1","gary williams sent us a fascinating portrait of chief naiche on a piece of fossil walrus ivory. for sale: $1,750.00 {{url}}"
"1","mammoth ivory masterpiece – three cats in a basket {{url}}"
"1","this fine and unusual 19th-century white marble, ivory and ormolu mantel clock by maple co of paris is coming up for sale in our fine art & antiques online auction this thursday here at dawsons.

estimated to fetch between £500-£700. {{url}}"
"0","#mazzega #murano #glass #sconce, #italy #70s
#vintage #modern #vintageshop #deco #decoration #elrastro #madrid #style #instadecor #instaantiques #interior #design #inspiration #interiors #homedecor #antiquesdealersofinstagram #antiqueshop #art {{url}}"
"0","big news. congratulations to the newly expanded {{mention}} team! {{url}}"
"0","rt {{mention}}: we should have public snow removal from sidewalks.

currently, we are placing undue burdens on pedestrians, especially t…"
"1","high quality mammoth ivory carving of kids playing on a relaxed bull laid on a teak wood
{{url}} {{url}}"
"0","vintage ivory linen handkerchief brussels style lace, wedding bridal ladies collectible hankie hanky by gracesvintagegarden {{url}}"
"0","this whole crisis text line story is truly bizarre. the poor judgement involved boggles the mind. {{url}} {{url}}"
"0","excited to share the latest addition to my #etsy #etsycanada #etsyjewelry shop: #vintage #micromosaicbrooch #etsysale #italianjewelry #floralmosaicbrooch #italian mosaic pin, #crowvanity jewelry, #freeshipping sale #christmas #birthday #artnouveau {{url}} {{url}}"
"1","minton bronze and ivory figures {{mention}}! minton bronze and ivory figurine  {{url}}"
