"label","sentence"
"0","Gorringe’s Auctioneers, are privileged to have been instructed to offer for sale on Tuesday December 7th - The Michael Farebrother collection of  ‘Papers Concerning H.M The Queen &amp; Her Family’ offered for sale for the first time.
{{URL}} #gorringes {{URL}} [sep] The leading #fineart & #antiques #auctioneers in the South East. Explore our collections at: {{URL}} or visit us in #Lewes #EastSussex [sep] [noocr]"
"0","RT {{MENTION}}: We are running a survey to help us better understand how we can best support our LGBTQ+ communities 🏳️‍🌈🏳️‍⚧️ 

The survey is… [sep] views & tweets my own. #triathlete #cyclist #health [sep] [noocr]"
"1","This fine and unusual 19th-century white marble, ivory and ormolu mantel clock by Maple Co of Paris is coming up for sale in our Fine Art &amp; Antiques online auction this Thursday here at Dawsons.

Estimated to fetch between £500-£700. {{URL}} [sep] Leading Fine Art & Antiques Auction House. Follow us for the latest updates and exciting lots. +44(0)207 431 9445 | {{EMAIL}} [sep] [noocr]"
"1","Legal Mammoth Ivory Tusk Carving of 3 Lucky Gods

Special Offer: {{URL}}

#Mammoth #ivory #warriors #tusk #qiang #Ivoryandart #art #sculpture #sculptures #homedecor #homedecoration #summersale #summersales {{URL}} [sep] I love Art especially Carved legal ivory [sep] [noocr]"
"1","You can buy this stunning as well as a magnificent statue that features an eagle perched on rock above canyon made of mammoth ivory.

Christmas Sale Upto 20% Off
Buy Now @ {{URL}}

#MammothIvorySculpture #MammothIvory #IvoryAndArt #ChristmasSale #HolidayShopping {{URL}} [sep] I love Art especially Carved legal ivory [sep] [noocr]"
"1","RT {{MENTION}}: Miniatures Painted On Ivory. 19th Century.
{{URL}}
{{MENTION}} 

1870s Naive Maritime Scene, Antiq… [sep] We organise 3 day quality antiques and fine art fairs in some of the finest stately homes that England and Scotland have to offer. [sep] [noocr]"
"0","{{MENTION}} {{MENTION}} He didn't because team politics not only betrayed him but to nation also. [sep] Actor, Writer, Director & Producer [sep] [noocr]"
"0","What do you want to share?follow me on twitter {{MENTION}} [sep] im nisha some call me nisha pooh(frm my friend polo) or some call me miz loui [sep] [noocr]"
"0","We have a treasure chest of new and exciting goodies! This Antiqued French Candelabra is heavily distressed to reveal the layers of age in a beautiful patina of grey, gold and ivory. {{URL}} {{URL}} [sep] Combining classic French furniture with playful, progressive design, The French Bedroom Company has revolutionised bedroom styling. Tel: 01444 415430 [sep] [noocr]"
"0","{{MENTION}} Would you consider adding an RSS feed? [sep] [nodes] [sep] [noocr]"
"0","Antiques collectors/dealers entering USA make sure your paper work is in order regarding antique items, in ivory, tortoiseshell, feathers,. [sep] actress/writer/antiques dealer. Tall thin and getting older. [sep] [noocr]"
"0","Good luck to FACT (Friends of Antique Cultural Treasures), who are challenging the Ivory Act in the Court of Appeals today on behalf of ivory dealers and collectors #ivoryban #ivoryact [sep] The UK's largest association of professional art & antiques dealers | The LAPADA Art & Antiques Fair, Berkeley Square | Buy with confidence from LAPADA members. [sep] [noocr]"
"0","Happy Halloween from Woolley &amp; Wallis. Featuring lot 325; a large and impressive Myochin iron articulated model of a #snake, signed #Myochin, 127cm. View the full #Japanese Works of Art catalogue here: {{URL}}
#Halloween #woolleyandwallis {{URL}} [sep] Fine Art auction house with specialist departments including Silver, Jewellery, Paintings, Furniture, African Art, Militaria, Ceramics, Design and Asian Art [sep] [noocr]"
"1","Dieppe ivory group of Putti at play - {{URL}} #antiques #dieppe #antique {{URL}} [sep] Philip Carrol is a regular exhibitor at major British antique fairs; including the BADA Fair, Olympia & Harrogate Antiques Fair. Specialising in Fine Ceramics [sep] [noocr]"
"0","Fine Jewellery entries invited for our Winter Sale.

Gorringe’s Winter Fine Sale Tuesday 7th December. Entry deadline 17th November.

{{URL}}

#consign #gorringes #jewellery #jewelry #finejewelry #finejewellery #antiquejewelry {{URL}} [sep] The leading #fineart & #antiques #auctioneers in the South East. Explore our collections at: {{URL}} or visit us in #Lewes #EastSussex [sep] [noocr]"
"0","Here’s Clifford’s Fine Sale Preview Video {{URL}} #gorringes #fineart #auction #canaletto {{URL}} [sep] The leading #fineart & #antiques #auctioneers in the South East. Explore our collections at: {{URL}} or visit us in #Lewes #EastSussex [sep] [noocr]"
"0","GEM 1920's Flip Top Single Edge Safety Razor Blade Made in Brooklyn, NY {{URL}} {{URL}} [sep] [nodes] [sep] [noocr]"
"1","3 of our fantastic Indian Ivory Miniatures available on our website #ivory #indian #antiques {{URL}} {{URL}} [sep] Philip Carrol is a regular exhibitor at major British antique fairs; including the BADA Fair, Olympia & Harrogate Antiques Fair. Specialising in Fine Ceramics [sep] [noocr]"
"0","I wish the twitter team the best of luck and trust that they will be successful in continuing to develop this important communication tool. [sep] i started this [sep] [noocr]"
"0","{{MENTION}} And on a lighter note, I feel like you and {{MENTION}} should totally be friends. [sep] bipedal humanoid. stress monkey. moderately badass. [sep] [noocr]"
"1","Mammoth ivory website under construction!! [sep] Mammoth Ivory Carvins from China. You can visit our showroom at De Oude Aarde at Giethoorn, The Netherlands [sep] [noocr]"
"1","OGP The latest from {{MENTION}}
OGP MEMBER COLLECTIONS
- Avalokiteśvara and Lotus：A traditional handmade Zitan wood and ivory carving Buddha statue
- Six ritual jades of Chinese zodiac, Shang dynasty (1600 – c. 1046 BC)
{{URL}}
{{URL}} {{URL}} [sep] OGP was brought to life by a number of private collectors, as an interactive platform to gather and preserve invaluable and unique products. [sep] [noocr]"
"1","{{URL}} - Photoshoot Mammoth Ivory Carvings [sep] Mammoth Ivory Carvins from China. You can visit our showroom at De Oude Aarde at Giethoorn, The Netherlands [sep] [noocr]"
"0","When we carried all of our possessions moving to New Zealand as luggage it felt like we had so much. Now that we’re in a house it feels like almost nothing. Surreal. [sep] anarchist, hacker, troublemaker (he/they) working on the decentralized web. [sep] [noocr]"
