label,sentence
1,@o2de ..Keine Auskunft über einen Benutzernamen. Login nach Passwortänderung wird angezeigt als 0176-12345678 klappt auch nicht. (2/2)#fail
1,#dankepolizei also dafür dass ein Spaziergang mit Abstand nur in Begleitung des eigenen Haushalts offensichtlich erlaubt war aber exakt die gleiche Handlung durch das Mitführen eines politischen Banners zu einem Verstoß gegen die Coronaschutzverordnung wurde. 2/
1,RT @metaco_sa: :ticket: RSVP: :studio_microphone:Live conversation with @gregkidd serial entrepreneur :man_superhero_light_skin_tone: a first round investor in companies like Twitter Squ…
1,RT @gknauss: Romney seems to be making a clean sweep of the shitty states.
1,RT @JohnnyJuliano: Drank a gallon of moscato &amp; some ciroc.. :D HI!
1,“Dutch authorities not enforcing” is the story of our pandemic. https://t.co/uJ7LfSimVI
1,@UberEats I’m sure this is because a promo code has been applied but this (expensive) can of cola was not relevant to that.
1,@burningman monkey chanting
1,We are looking for TYPO3 developers of all experience levels for hire in DE/HH! https://t.co/Dd58hehGE0 spread the word or get back via pm!
1,@thijs Conferring agency and rights to cars themselves often as a proxy for the driver sometimes on their own accord.So by preventing his car from moving they are seen as having infringed on a right to mobility. For threatening a vehicle they deserve retribution.
1,@cwervo Matched!
1,RT @casheeew: Hello would you like to hear a TCP joke? http://t.co/UoTJtGDX2D
1,RT @_GlobaliD: Congrats to Hard Yaka portfolio company @usealloy on their Series C funding! https://t.co/yfgWbPy3Lf
1,@intrcnnctd I hate these moments when a reality-aligned fictional world forks off.I hadn’t thought of how Magic Feather storylines bore me as related but this is totally right.
1,Tanzanite Jewelry CollectionYou Can Outsource The Production Of Tanzanite Jewelry To DWS Jewellery Pvt Ltd At Competitive Price.Click Here: https://t.co/4P6pEgDfiy#manufacturer #fashion #luxury #customjewelry #silver #manufacturing #wholesale #jewelrydesigner #jewellery https://t.co/lDjKbqAodp
