"label","sentence"
"1","Chinese Carved Ivory &amp; Wood Card Cases. {{URL}}"
"0","{{MENTION}} ليه تجاهل ٣٠ يونيو؟"
"1","New item added to the site a Rare 18th Century Mughal anthropomorphic carved ivory cane handle with suspended tongue. {{URL}}"
"1","RT {{MENTION}}: A fine selection of 19th century #Chinese and #Japanese carved #ivory #figures/items. ISLAMIC &amp; ORIENTAL 29 JULY {{MENTION}}…"
"1","Rare Ivory tea caddy one of many we have for sale in our collection.

{{URL}} #teacaddy #antiques #buywithconfidence  {{URL}}"
"0","{{MENTION}} just watched “The Courier”.  Nice work and an extremely fun movie.  Will there be a sequel"
"1","{{MENTION}} some new stock in just in time for fair #silver #ww1 #georgjensen #ivory #shooting {{URL}}"
"1","#Auction Lot 257 - A rare carved Indian ivory chandelier in the manner of Philipp Perron #Chandelier #antiques {{URL}}"
"0","RT {{MENTION}}: The company of a #Libra is refreshing, fulfilling, often very enlightening &amp; highly sought after."
"1","Coconut and ivory pot {{URL}} {{URL}}"
"0","Damn {{MENTION}}, it's glaringly obvious that when you acquired {{MENTION}} the first people you let go was the cust service staff. Long lines for in person support shouldn't take over 45 min and feel as cold as ice. #disappointed"
"0","RT {{MENTION}}: For most of us, our mother is our first teacher. In my own case, it was my mother who first revealed to me the power of comp…"
"0","PS Vitaから投稿テストです。"
"0","Drinking a Bourbon County Brand Fourteen Stout (2021) by {{MENTION}} @ 3rd Planet Brewing - The Mothership — {{URL}}"
"1","What A beautiful year it has been! We can only say thanks to all our customers!!
Wishing you all a great evening with family and friends, and that 2020 may bring you good health and joy!
#IvoryAndArt #IvoryCarving #MammothIvory #legalivory #CarveIvory #netsuke #mammothIvoryTusk {{URL}}"
"0","Is this thing on?"
"0",".{{MENTION}} #Boris4Xmasno1"
"1","Mammoth Ivory Showroom! {{URL}}"
"1","This is a beautiful japanes ivory Mei-ji. Enjoy it! {{URL}}"
"1","Late Victorian mahogany &amp; fruitwood travelling chess board with ivory chess pieces,c1890....{{URL}} #antiques #Chess #boardgames #Victorian #giftsforhim #giftideas #gamespeopleplay #games #chessboard #CHECKMATE #birthdaygift {{URL}}"
"0","{{MENTION}} {{MENTION}} Exactly..."
"1","Mammoth Ivory Carvings Figurine of Japanese Samurai

Look at this mighty yet robust creation of Japanese Samurai Figurines on a Wooden platform precisely sculpted with original mammoth ivory.

{{URL}} {{URL}}"
"1","A pair of #ivory africans sculptures, #France 70s
#vintage #modern #vintageshop #deco #decoration #ElRastro #Madrid #style #instadecor #instaantiques #interior #design #inspiration #interiors #homedecor #antiquesdealersofinstagram #antiqueshop #art {{URL}}"
"0","Caveat: I take my phone to bed because I'm not a perfectly optimized person. But I plug it in, put it down, and pick up a physical book right away."
"0","I just completed {{MENTION}}’s quiz on Variables with 8/8 points. Can you beat my score? {{URL}}"
"0","{{MENTION}} And on a lighter note, I feel like you and {{MENTION}} should totally be friends."
"0","ODESZA, Palo Alto, CA: Register for Presale Access &amp; WIN Meet &amp; Greet with ODESZA + more!: {{URL}}"
"0","Or maybe it's just little boys"
"1","Mammoth Ivory Netsuke – The Sculpture

This outstanding #netsuke is a proud member of our MASTER Pieces Netsukes collection. 
#handcarved by Master Carver. 

{{URL}}

#mammoth #mammothivory #ivory #sculpture #netsukemastercollection
#netsuke_art #art #collection {{URL}}"
"0","RT {{MENTION}}: Behold the worlds first ever TXT message sent about a Bengals playoff win. Congrats #bengals #NFLPlayoffs #NFL {{URL}}"
"0","RT {{MENTION}}: If you’re looking to upgrade your mask game and protect yourself, please visit and find a location near you: {{URL}}"
"0","I just opened a mystery potion in Agario and won amazing rewards. Come and play to win unique mystery skins! {{URL}}"
"1","Just arrived!! New Mammoth Ivory Carvings  {{URL}}"
"0","RT {{MENTION}}: I’m not accepting weird friendships or people acting weird towards me in this new year. I’ll never talk to u again."
"1","A pair of late Victorian stained ivory cuff links by Child &amp; Child c1905. Each terminal designed as a heart, collet set with a green stained ivory panel conjoined by belcher links. {{URL}}"
"0","RT {{MENTION}}: The Gilded Age needs to case Jane Krakowski in character as Jenna Maroney playing a character in The Gilded Age"
"0","{{MENTION}} #BotecDoRatinho"
"1","Sculpture of Man With Baskets in Mammoth Ivory

Offer Link: {{URL}}

#Ivoryandart #art #sculpture #sculptures #homedecor #homedecoration #summersale #summersales {{URL}}"
"0","My son just told me that Maui ate his dinosaurs and coffee for breakfast. Three is a magical age."
"0","When you're between 1% and 2% compound monthly growth it doesn't feel as good as it used to.

It might be a stretch to call it a struggle. You're likely still growing faster than most established businesses your size.

But you rarely see other SaaS founders sharing those numbers."
"1","RT {{MENTION}}: Rare 15.5cm wide Roman carved ivory relief dating to the 2nd-3rd century AD, depicting a drunken… {{URL}}"
"1","Mammoth Ivory Carvings now online! Check it out! {{URL}}"
"0","RT {{MENTION}}: Alta Magazine is pleased to support {{MENTION}} + {{MENTION}}, a nonprofit organization dedicated to supporting under-resource…"
"0","Whats the name of this anti-war, anti-nwo band with the middle-eastern riffs? (live at {{URL}})"
"0","Vandaag 25 januari: Dag van de ode aan de zorg! Breng jij een ode uit via social media met #odeaandezorg, aan een zorgcollega die een hart onder de riem verdient, aan een specifieke zorgorganisatie, of aan de zorg in het algemeen?! {{URL}}"
"0","Discover #Europe as it blooms into colour with our Flowers and Gardens Holidays! A treat for the eyes, visit the renowned #KeukenhofPark or explore the incredible #FloriadeExpo – a once a decade event! Book your springtime escape today &gt; {{URL}} {{URL}}"
"1","Just arrived!! New Mammoth Ivory Carvings  {{URL}}"
"1","Describing a C14th #Mameluke ivory and wood panel to my guest at {{MENTION}} #Islamicart week private view launch night #history #islamic #art {{URL}}"
"0","{{MENTION}} {{MENTION}} For a parody account, you need to make it more obvious this is a joke. Or else we all think you genuinely believe this liar pos is a good bloke."
"1","Legal Mammoth Ivory Carvings – Fishing on a Boat in The sea

This beautiful piece of mammoth ivory has been carved as a fishing scene.

#ivory #mammothivory #fishing #sculpture #masterpiece #Passion #artwork {{URL}}"
"0","When we carried all of our possessions moving to New Zealand as luggage it felt like we had so much. Now that we’re in a house it feels like almost nothing. Surreal."
"1","Just arrived!! New Mammoth Ivory Carvings  {{URL}}"
"0","{{MENTION}} {{MENTION}} Lol you really think you did something huh smh"
"1","Coming up in our 1st October Fine Arts Sale: An early 17th century depiction of Christ crucified carved in ivory, circa 1600 - 1625.
.
.
Finely carved with polychrome painted hair and… {{URL}}"
"0","Hello {{MENTION}} , comment ça se passe pour l'URL du tracker ? les fichier torrent sont toujours en .is et donc impossible de s'annoncer sur le tracker :("
"0","vagoty203011"
"0","{{MENTION}} send me a pic of it"
"1","Octagonal whale ivory sewing stand, 11½"" tall, brought $25,200 (est. $9000/12,000) at {{MENTION}} {{URL}} #antiques #antique #vintage #art #artist #Americana #ivory #whale #whales #sewing #folkart {{URL}}"
"0","{{MENTION}} why isn’t everything already this? like Repo Man “Beer” but computer generated sludge {{URL}}"
"0","Issues with my package deliveries from the {{MENTION}}. Countless occasions my package has being delivered to a similar/ wrong address.  Left notes &amp; spoke with the delivery person to help with this issue. Todays package was just left on top of the community mailbox {{MENTION}}"
"0","Лечение кариеса Студенческая {{URL}}"
"1","Each of us is carving a stone, erecting a column, or cutting a piece of stained glass in the construction of something much bigger than ourselves.
Buy And Get Offer: {{URL}}

#ivoryandart #decor #homedecor #interior #house #decoration #homesweethome #homedesign {{URL}}"
"1","Hand painted on ivory miniature of Lady Carrington @ Terrier Antiques Ltd {{URL}}"
"1","Dragon Sculpture in Mammoth Ivory

Special Offer Link: {{URL}}

 #Mammoth #ivory #warriors #tusk #qiang #Ivoryandart #art #sculpture #sculptures #homedecor #homedecoration #summersale #summersales {{URL}}"
"0","La trinitat impossible {{URL}} {{MENTION}}"
"0","{{MENTION}} Please gib belfast gig!!!!"
"0","It's just snow people. It's not magic."
"0","{{MENTION}} These days $500k is just friends and family. Still have many millions to go :)"
"0","{{MENTION}} Just show up one time like ""sup""? Might get them to take you off the list"
"0","{{MENTION}} Wait do I need to watch “John Wick” before watching “Nobody?” Because I don’t have that kind of time."
"0","{{MENTION}} {{MENTION}} I ❤️ Cody but I 100% approve of this decision"
"1","Dieppe ivory group of Putti at play - {{URL}} #antiques #dieppe #antique {{URL}}"
"1","RT {{MENTION}}: Miniatures Painted On Ivory. 19th Century.
{{URL}}
{{MENTION}} 

1870s Naive Maritime Scene, Antiq…"
"1","Mammoth Ivory Masterpiece Netsuke – Tiger &amp; a Crab

Link: {{URL}}

#Ivoryandart #art #sculpture #sculptures #homedecor #homedecoration #summersale #summersales {{URL}}"
"1","Mammoth Ivory Netsuke – Lohan Riding Dragon

This pattern is known in Shaolin Kungfu as “Lohan Riding Dragon” (“Lor Hon Kea Loong”). You can then strike him on his head or chest.

{{URL}}
#netsuke #mammoth #mammothivory #ivory #art #artcreation #dragon #asia {{URL}}"
"1","Prost! Who said the ivory doesn't sell anymore? This wonderful German cold painted bronze and ivory figure by Ferdinand Preiss sold for £12,000. {{URL}}"
"0","Holy smokes but some kind of confirmation/help ticket would be helpful"
"0","{{MENTION}} At first I was surprised by {{MENTION}}’s support for Rogan , but then I realized that he is exactly the type of person who would 1) Take advice from a meathead. 2) Take any opportunity to promote his horrible tequila."
"1","Our #Silver &amp; Objects of Vertu sale on 16th July features some interesting pieces including this #Mokume tea caddy by #TiffanyandCo, #EdwardMoore period, decorated with a carved ivory okimono finial of playful #Japanese figures. Estimated at £1,000-1,500. {{URL}} {{URL}}"
"1","Fisherman With Boy Sculpted in Mammoth Ivory

Buy this wonderful #Sculpture @ {{URL}}

#Ivoryandart #art #sculpture #sculptures #homedecor #homedecoration #summersale #summersales {{URL}}"
"0","RT {{MENTION}}: 🚨Culture Cards x {{MENTION}} Giveaway!!🚨

💰4 Culture Cards #NFTs + 250K $DMR to winners!💎

🥇1 Winner GOLD Big Pun NFT + 1…"
"0","RT {{MENTION}}: Pastors will pray for the fruit of the womb but never for the fruit of the testicle!- Father Angelbert Chikere"
"1","Mammoth Ivory Jewelry – Dragon Ring

This hand made Mammoth Ivory Jewelry was hand made by top artist.

{{URL}}

#dragon #ivory #mammothivory #art #jewelry #masterpiece {{URL}}"
"1","You can buy this beautiful work of Lion King Sitting on his den on a wooden plank carefully sculpted with original mammoth ivory.

Christmas Sale Upto 20% Off
Buy Now @ {{URL}}

#MammothIvorySculpture #MammothIvory #IvoryAndArt #ChristmasSale #HolidayShopping {{URL}}"
"0","BIG news. Congratulations to the newly expanded {{MENTION}} team! {{URL}}"
"1","William Grimaldi (1751-1830), Portrait of  a gentleman in a blue coat and stock and a women in a gold dress with a lace jabot, holding a child,  portrait miniatures, a pair, watercolour on ivory, inscribed paper verso ""W Grimaldi AR engraver {{URL}}"
"0","my mom had a debilitating case of tuberculosis in india, and she calls it her ""first pandemic"" {{URL}}"
"1","Mammoth Ivory Figurine – Two Japanese Geishas
This is a very high quality mammoth ivory carving of two half naked Japanese Geishas
This Erotic Figurine is Hand carved by Master Carver to perfection.

{{URL}}

#geisha #art #mammoth #mammothivory #erotic {{URL}}"
"0","{{MENTION}} 🤣🤣🤣 {{URL}}"
