"0","Mammoth Ivory Carvings Figurine of Japanese Samurai

Look at this mighty yet robust creation of Japanese Samurai Figurines on a Wooden platform precisely sculpted with original mammoth ivory.

{{URL}} {{URL}}" 
"1","Mammoth Ivory Netsuke – 12 zodiac animals set – Round Stand

This is a very high quality mammoth ivory carving netsukes of 12 Chinese Zodiac animals Set!

Check the link: {{URL}} {{URL}}" 
"2","Mammoth Ivory Masterpiece Netsuke – Father &amp; Son with a Fish
The relationship between father and son is a classic and timeless relationship worthy of artistic interpretation.

{{URL}}

#masterpiece #sculpture #art {{URL}}" 
"3","Mammoth Ivory Figurine -The New archery samurai kneeling

Genuine MAMMOTH IVORY FIGURINE portraying a Samurai kneeling down, about to shoot an arrow.

#artcollector #ivory #sculptures

{{URL}} {{URL}}" 
"4","What A beautiful year it has been! We can only say thanks to all our customers!!
Wishing you all a great evening with family and friends, and that 2020 may bring you good health and joy!
#IvoryAndArt #IvoryCarving #MammothIvory #legalivory #CarveIvory #netsuke #mammothIvoryTusk {{URL}}" 
"5","Really amazing piece of art look how the octopus surround the mermaid &amp; it’s looks little beat erotic that the octopus insert his limbs under the mermaid skirt inlay-ed with red gestones &amp; give her a good time.

{{URL}}

#sculpture #octopus #Mermaid #ivory {{URL}}" 
"6","This outstanding Netsuke made of 100% genuine Mammoth ivory Tusk &amp; made out from the best grade of mammoth ivory tusk.

{{URL}}

#monkeys #elephant #ivory #collection #tusk {{URL}}" 
"7","As one of the four creatures of the world’s directions, the Dragon stands for new beginnings. The Dragon also has the power to release water to parched lands, and which in turn stands for abundance and relief. 

{{URL}}

#dragon #newbeginnings #ivory #mammothivory {{URL}}" 
"8","This is a very high quality mammoth ivory carving netsuke A Listening To Music. This netsuke is carved out of genuine pure Mammoth ivory!

{{URL}}

#netsuke #sculpture #ivory #mammothivory {{URL}}" 
"9","Museum quality Mammoth ivory Netsuke of Samurai Carrying Bag On His Shoulder. Where are the Samurai going to with his bag hanging on his shoulders, two swords in his belt &amp; a some kid of letter on his right hand.

{{URL}}

#netsuke #ivory #mammothivory #art {{URL}}" 
"10","Museum quality – Mammoth Ivory Netsuke – Three Monkeys In Boat 

This outstanding Netsuke is a proud member of our MASTER Pieces Netsukes collection, hand carved by Master Carver.

{{URL}}

#art #mammothivory #ivory #monkeys #netsuke #artworks #sculpture {{URL}}" 
"11","Museum quality Mammoth ivory Netsuke of – 5 Mice And Mask Head. Amazing art creation on the tiny Mammoth Ivory Tusk scrap.
Just imagine that this scene is carved on piece that smaller than a lighter.

{{URL}}

#sculpture #ivoryart #ivory #carving #mammothivory {{URL}}" 
"12","Mammoth Ivory Netsuke – TWIN OWLS

This outstanding Netsuke made of 100% genuine Mammoth ivory Tusk &amp; made out from the best grade of mammoth ivory tusk.

{{URL}}

#sculpture #ivory #mammothivory #art #workart #netsuke #carving {{URL}}" 
"13","Mammoth Ivory Jewelry – Dragon Ring

This hand made Mammoth Ivory Jewelry was hand made by top artist.

{{URL}}

#dragon #ivory #mammothivory #art #jewelry #masterpiece {{URL}}" 
"14","An extremely amazing Mammoth ivory Netsuke of the Seven Lucky gods(Or Japans’ Seven Gods of Fortune) in a bottle Guard.

{{URL}}

#handmade #ivory #sculpture #carving #tusk #art {{URL}}" 
"15","Mammoth Ivory Netsuke – On The Bridge

This is Mammoth Ivory Netsuke of Bridge Scene Breathtakingly beautiful with bold, defined strokes, capturing the expression of the Japanese people that are on the bridge.
{{URL}}

#ivory #sculpture #mammothivory #netsuke #art {{URL}}" 
"16","Legal Mammoth Ivory Carvings – Fishing on a Boat in The sea

This beautiful piece of mammoth ivory has been carved as a fishing scene.

#ivory #mammothivory #fishing #sculpture #masterpiece #Passion #artwork {{URL}}" 
"17","Mammoth Ivory Netsuke – Lohan Riding Dragon

This pattern is known in Shaolin Kungfu as “Lohan Riding Dragon” (“Lor Hon Kea Loong”). You can then strike him on his head or chest.

{{URL}}
#netsuke #mammoth #mammothivory #ivory #art #artcreation #dragon #asia {{URL}}" 
